,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
257,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
282,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
283,"frozenset({'pm25-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
286,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
296,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
311,"frozenset({'pm10-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
312,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
316,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
326,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
340,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
348,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
358,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
359,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
363,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
390,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8032630098452883,1.0,0.8032630098452883,1.0,1.0,0.0,inf,0.0
403,"frozenset({'pm10-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
