,support,itemsets
154,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
172,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
18,0.8032630098452883,"('pm10-Zelo dobra', 'pm1-Zelo dobra')"
61,0.8032630098452883,"('pm10-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
59,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
56,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra')"
158,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
157,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
156,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
102,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra')"
171,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
170,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
169,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
167,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
152,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
153,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
145,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
52,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
109,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
150,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
107,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
149,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
105,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
147,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
